Title,Author,Original_Category,Description
The Holcroft Covenant,Robert Ludlum,Fiction,"The Fourth Reich is waiting to be born. The only man who can stop it is about to sign its birth certificate. In 1945 the children of the Third Reich were secretly hidden all over the world-to be concealed until the 1970's, when they would come of age. Then the most elaborate plans and $780 million in a Swiss bank would be waiting. There would even be an unsuspecting outsider to set the plan into action. that outsider is Noel Holcroft, the American son of a high-ranking Nazi. He's just been shown an amazing document, the Holcroft Covenant. If he signs, it will be his own death warrant and a devastating threat to the security of the world."
The Visitor,Lee Child,Fiction,"""Sergeant Amy Callan and Lieutenant Caroline Cook have a lot in common. Both were army high-flyers. Both were acquainted with Jack Reacher. Both were forced to resign from the service. Now they're both dead. Both were found in their own home, naked, in a bath full of paint. Both apparent victims of an army man. A loner, a smart guy with a score to settle, a ruthless vigilante. A man just like Jack Reacher.""--Cover."
Tripwire,Lee Child,Fiction,"Digging swimming pools by hand in Key West, former military policeman Jack Reacher is not pleased when Costello, a private detective, starts asking questions about him. When Costello is found dead, Reacher knows that he is in serious trouble."
The Da Vinci Code,Dan Brown,Fiction,"Robert Langdon, Harvard Professor of symbology, receives an urgent late-night call while in Paris: the curator of the Louvre has been murdered. Alongside the body is a series of baffling ciphers. Langdon and a gifted French cryptologist, Sophie Neveu, are stunned to find a trail that leads to the to the works of Da Vinci - and further. The curator, part of a secret society named the Priory of Sion, may have sacrificed his life to keep secret the location of a vastly important religious relic hidden for centuries. It appears that the clandestine Vatican-sanctioned Catholic sect Opus Dei has now made its move. Unless Landon and Neveu can decipher the labyrinthine code and quickly assemble the pieces of the puzzle, the Priory's secret - and a stunning historical truth - will be lost forever."
White Fang,Jack London,Juvenile Fiction,The adventures in the northern wilderness of a dog who is part wolf and how he comes to make his peace with man.
The Da Vinci Code,Dan Brown,Art museum curators,"A murder in the silent, late night halls of the Louvre reveals a sinister plot to uncover a secret that has been protected by a clandestine society since the days of Christ. The victim is a high­ranking agent of this ancient society who, in the moments before his death, manages to leave gruesome clues at the scene that only his cryptographer daughter and her symbologist friend can untangle. The duo become both suspects and detectives searching not only for the murderer, but also the stunning secret he was charged to protect."
Confessions of a Thug,Philip Meadows Taylor,,"The Thuggees were a roving tribe of assassins and criminals who terrorized India for centuries. This fictionalized autobiography of a member of the Thuggees was a runaway bestseller in nineteenth-century England. Author Philip Meadows Taylor is said to have based the book on his conversations with Syeed Amir Ali (also known as Feringhea), a long-time member of the group."
The Dark Half,Stephen King,Fiction,"Evidence indicates that Thad Beaumont whose novels seem to be the product of a twisted imagination, may just be quilty of a series of monstrous murders. Copyright © Libri GmbH. All rights reserved."
Mercy,Julie Garwood,Fiction,"When attorney Theo Buchanan takes ill at a ceremony honouring his work, a beautiful young surgeon saves his life. When Theo seeks her out, he discovers that she is in mortal danger because she knows too much about a mercy killing."
A Game for Heroes,Jack Higgins,Fiction,Intrepid British spy and soldier of fortune Owen Morgan leads a hard-nosed gang of commandos on a mission to destroy an island fortress of the Third Reich in the English Channel.
The Testament,John Grisham,Fiction,"A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament."
The St. Zita Society,Ruth Rendell,Fiction,From three-time Edgar Award-winning mystery writer Ruth Rendell comes a captivating and expertly plotted tale of residents and servants on one block of a posh London street--and the deadly ways their lives intertwine.
The Shadow of the Wind,Carlos Ruiz Zafón,Barcelona (Spain),"It is 1945 and Barcelona is enduring the long aftermath of civil war when Daniel Sempere's bookseller father decides his son is old enough to visit the secret Cemetery of Forgotten Books. There Daniel must adopt a single book, promising to care for it and keep it alive always. His choice falls on The Shadow of the Wind. Bewitched, he embarks on an epic quest to find the truth about Julian Carax, the book's mysterious author. Soon Daniel is consumed by strange discoveries about love and obsession, art and life, and how they become entangled within the shadow world of books. The Shadow of the Wind is a mesmerising love story and literary thriller, which twists and turns and enthrals with its cast of vengeful souls, threatening spectres and innocent hearts."
He Will Be My Ruin,K.A. Tucker,Fiction,"K.A. Tucker makes her suspense debut with this sexy, heart pounding story of a young woman determined to find justice after her best friend's death."
Robert Ludlum's The Altman Code,"Robert Ludlum, Gayle Lynds",Fiction,"When a Chinese cargo ship is rumored to be carrying tons of chemicals to be used by a rogue nation to create new biological weapons, the president enlists Covert-One Agent John Smith to uncover the truth. Martin's Press."
The Confessor,Daniel Silva,Fiction,"In the wake of a Munich writer's assassination, Mossad agent Gabriel Allon and Vatican priest Pietro embark on dangerous journeys that reveal long-buried secrets affecting the fates of millions of people."
The Moscow Club,Joseph Finder,Coups d'état,"This intense political thriller blows out the windows of conventional spy fiction and moves at an alarming rate to its utterly terrifying conclusion. ""One of the best novels yet written about political conspiracy and espionage"".--Nelson DeMille. The Moscow Club has been sold to 23 foreign countries."
Hour Game,David Baldacci,Government investigators,When is a serial killer not a serial killer? When are the hands on a clock not the hands on a clock? When you play the hour game.
Sheba,Jack Higgins,Adventure stories,"While helping a woman search for her missing husband, the American archaeologist Gavin Kane discovers the legendary Temple of Sheba in Southern Arabia, and finds the Nazis are planning to turn it into Hilter's secret stronghold."
The Eleventh Commandment,Jeffrey Archer,Fiction,"ELEVENTH COMMANDMENT Jeffrey Archer Connor Fitzgerald has an impressive resume. Military hero. Devoted family man. Servant of his country--as an assassin. Just as he's about to put his twenty-eight-year career at the CIA behind him, he comes up against the most dangerous enemy he's ever faced: His own boss, Helen Dexter."""" As Director of the CIA, Dexter has always been the one to hold the strings. But when her status is threatened by a greater power, her only hope for survival is to destroy Fitzgerald. Meanwhile, the country braces itself as tensions with a new Russian leader reach the boiling point...and it's up to Fitzgerald to pull off his most daring mission yet: To save the world. Even if that means risking everything--including his own life--in the process."
Einstein,Walter Isaacson,Biography & Autobiography,"From Isaacson, the bestselling author of ""Benjamin Franklin,"" comes the first full biography of Albert Einstein since all his papers have become available--a fully realized portrait of a premier icon of his era."
Freedom in Exile,Dalai Lama XIV Bstan-ʼdzin-rgya-mtsho,Biography & Autobiography,The autobiography of the Dalai Lama who won the 1989 Nobel Peace Prize.
My Days with Nehru,M. O. Mathai,Biography & Autobiography,"Reminiscences of the author, special assistant, 1946 to 1959, to Jawaharlal Nehru, 1889-1964, former prime minister of India."
I'm Glad My Mom Died,Jennette McCurdy,Biography & Autobiography,A memoir by American former actress and singer Jennette McCurdy about her career as a child actress and her difficult relationship with her abusive mother who died in 2013
Red Roulette,Desmond Shum,Biography & Autobiography,"After the Communist Revolution, Desmond Shum's grandfather was marked as belonging to a ""black category"" that included former landlords and rich peasants--meaning the Shums would be stigmatized and impoverished. As Desmond was growing up, he vowed his life would be different. Through hard work and sheer tenacity Shum earned an American college degree and returned to China to establish himself in business. There, he met his future wife, the highly intelligent and equally ambitious Whitney Duan who was determined to make her mark within China's male-dominated society. Whitney and Desmond formed an effective team and, aided by relationships they formed with top members of the red aristocracy, vaulted into China's billionaire class. Soon they were developing the massive air cargo facility at Beijing International Airport, and they followed that feat with the creation of one of Beijing's premier hotels. They were dazzlingly successful, traveling in private jets, funding multi-million-dollar buildings and endowments, and purchasing expensive homes, vehicles, and art. But in 2017, their fates diverged irrevocably when Desmond, while residing overseas with his son, learned that his now ex-wife Whitney had vanished along with three coworkers. This is both Desmond's story and Whitney's, because she cannot tell it herself."
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Fiction,The epic adventures Evelyn creates over the course of a lifetime will leave every reader mesmerized. This wildly addictive journey of a reclusive Hollywood starlet and her tumultuous Tinseltown journey comes with unexpected twists and the most satisfying of drama.
Telling Lives in India,David Arnold,Autobiography,"The Aim Of The Book Is To Examine Life Histories, In Their Diverse Forms, In Order To Open Up New Ways Of Thinking And Writing About India, And To Bring Material From This Region To The Level Of International Research An Life Histories. Has 3 Parts-Confronting Modernity-Translating Tradition-Spoken Lives. Of Interest Of Historians, Sociologists, Anthropologists, Political Scientists And Students Of Culture And Literary Theory."
The Rise and Fall of Osama Bin Laden,Peter L. Bergen,Biography & Autobiography,"Provides a reevaluation of the man responsible for precipitating America's long wars with al-Qaeda and its descendants, capturing bin Laden in all the dimensions of his life: as a family man, as a zealot, as a battlefield commander, as a terrorist leader, and as a fugitive"
On Sparta,Plutarch,History,"Through his Lives of Sparta's leaders and his recording of memorable Spartan Sayings, Plutarch depicts a people who lived frugally and mastered their emotions in all aspects of life, who disposed of unhealthy babies in a deep chasm, introduced a gruelling regimen of military training for boys, and treated their serfs brutally. Plutarch's writing brings to life the personalities and achievements of Sparta. Revised edition includes a new introduction , a new essay on Plutarch, notes, a glossary, updated further reading, and an index."
Steve Jobs,Walter Isaacson,Biography & Autobiography,"""FROM THE AUTHOR OF THE BESTSELLING BIOGRAPHIES OF BENJAMIN FRANKLIN AND ALBERT EINSTEIN, THIS IS THE EXCLUSIVE BIOGRAPHY OF STEVE JOBS. Based on more than forty interviews with Jobs conducted over two years--as well as interviews with more than a hundred family members, friends, adversaries, competitors, and colleagues--Walter Isaacson has written a riveting story of the roller-coaster life and searingly intense personality of a creative entrepreneur whose passion for perfection and ferocious drive revolutionized six industries: personal computers, animated movies, music, phones, tablet computing, and digital publishing. At a time when America is seeking ways to sustain its innovative edge, and when societies around the world are trying to build digital-age economies, Jobs stands as the ultimate icon of inventiveness and applied imagination. He knew that the best way to create value in the twenty-first century was to connect creativity with technology. He built a company where leaps of the imagination were combined with remarkable feats of engineering. Although Jobs cooperated with this book, he asked for no control over what was written nor even the right to read it before it was published. He put nothing off-limits. He encouraged the people he knew to speak honestly. And Jobs speaks candidly, sometimes brutally so, about the people he worked with and competed against. His friends, foes, and colleagues provide an unvarnished view of the passions, perfectionism, obsessions, artistry, devilry, and compulsion for control that shaped his approach to business and the innovative products that resulted. Driven by demons, Jobs could drive those around him to fury and despair. But his personality and products were interrelated, just as Apple's hardware and software tended to be, as if part of an integrated system. His tale is instructive and cautionary, filled with lessons about innovation, character, leadership, and values""--"
Why I Am a Hindu,Shashi Tharoor,BIOGRAPHY & AUTOBIOGRAPHY,A revelatory and original contribution to our understanding of the role of religion in society and politics.
Cleopatra,Joyce A. Tyldesley,Biography & Autobiography,"A biography of Cleopatra, the last ruler of the Macedonian dynasty of Ptolemies who had ruled Egypt for three centuries."
Gandhi Before India,Ramachandra Guha,Biography & Autobiography,"A first volume of a series detailing the life and work of the influential political advocate draws on private papers and other untapped sources to cover his birth in 1869 through his upbringing in Gujarat, discussing his London education and decades as a lawyer in South Africa. 35,000 first printing."
Cybernetics Or Control and Communication in the Animal and the Machine,Norbert Wiener,Computers,"It appers impossible for anyone seriously interested in our civilization to ignore this book. It is a 'must' book for those in every branch of science . . . in addition, economists, politicians, statesmen, and businessmen cannot afford to overlook cybernetics and its tremendous, even terrifying implications."
The Power of Habit,Charles Duhigg,Business & Economics,"NEW YORK TIMES BESTSELLER • MORE THAN 3 MILLION COPIES SOLD • This instant classic explores how we can change our lives by changing our habits. “Few [books] become essential manuals for business and living. The Power of Habit is an exception.”—Financial Times A WALL STREET JOURNAL AND FINANCIAL TIMES BEST BOOK OF THE YEAR In The Power of Habit, award-winning business reporter Charles Duhigg takes us to the thrilling edge of scientific discoveries that explain why habits exist and how they can be changed. Distilling vast amounts of information into engrossing narratives that take us from the boardrooms of Procter & Gamble to the sidelines of the NFL to the front lines of the civil rights movement, Duhigg presents a whole new understanding of human nature and its potential. At its core, The Power of Habit contains an exhilarating argument: The key to exercising regularly, losing weight, being more productive, and achieving success is understanding how habits work. As Duhigg shows, by harnessing this new science, we can transform our businesses, our communities, and our lives. With a new Afterword by the author"
The Principles of Psychology (Vol. 1&2),William James,Psychology,One of the greatest classics of modern Western literature and science and the source of the ripest thoughts of America's most important philosopher.
Being There,Andy Clark,Psychology,"Brain, body, and world are united in a complex dance of circular causation and extended computational activity. In Being There, Andy Clark weaves these several threads into a pleasing whole and goes on to address foundational questions concerning the new tools and techniques needed to make sense of the emerging sciences of the embodied mind. Clark brings together ideas and techniques from robotics, neuroscience, infant psychology, and artificial intelligence. He addresses a broad range of adaptive behaviors, from cockroach locomotion to the role of linguistic artifacts in higher-level thought."
What Is Intelligence?,James R. Flynn,Psychology,"The 'Flynn effect' refers to the massive increase in IQ test scores over the course of the twentieth century. Does it mean that each generation is more intelligent than the last? Does it suggest how each of us can enhance our own intelligence? Professor Flynn is finally ready to give his own views. He asks what intelligence really is and gives a surprising and illuminating answer. This expanded paperback edition includes three important new essays. The first contrasts the art of writing cognitive history with the science of measuring intelligence and reports data. The second outlines how we might get a complete theory of intelligence, and the third details Flynn's reservations about Gardner's theory of multiple intelligences. A fascinating book that bridges the gulf separating our minds from those of our ancestors a century ago, and makes an important contribution to our understanding of human intelligence."
Culture's Consequences,"Geert H. Hofstede, Geert Hofstede",Business & Economics,"`The publication of this second edition of Culture′s Consequences marks an important moment in the field of cross-cultural studies.... Hofstede′s framework for understanding national differences has been one of the most influential and widely used frameworks in cross-cultural business studies, in the past ten years′ - Australian Journal of Management"
The Kama Sutra of Vatsyayana,"Vatsyayana, Richard Burton, Bhagavanlal Indrajit, Shivaram Parashuram Bhide",Religion,The Kama Sutra is an ancient Indian Hindu text widely considered to be the standard work on human sexual behavior in Sanskrit literature written by Vatsyayana.
"Introduction to Mediation, Moderation, and Conditional Process Analysis",Andrew F. Hayes,Psychology,"Explaining the fundamentals of mediation and moderation analysis, this engaging book also shows how to integrate the two using an innovative strategy known as conditional process analysis. Procedures are described for testing hypotheses about the mechanisms by which causal effects operate, the conditions under which they occur, and the moderation of mechanisms. Relying on the principles of ordinary least squares regression, Andrew Hayes carefully explains the estimation and interpretation of direct and indirect effects, probing and visualization of interactions, and testing of questions about moderated mediation. Examples using data from published studies illustrate how to conduct and report the analyses described in the book. Of special value, the book introduces and documents PROCESS, a macro for SPSS and SAS that does all the computations described in the book. The companion website (www.afhayes.com) offers free downloads of PROCESS plus data files for the book's examples. Unique features include: *Compelling examples (presumed media influence, sex discrimination in the workplace, and more) with real data; boxes with SAS, SPSS, and PROCESS code; and loads of tips, including how to report mediation, moderation and conditional process analyses. *Appendix that presents documentation on use and features of PROCESS. *Online supplement providing data, code, and syntax for the book's examples."
Nudge,"Richard H. Thaler, Cass R. Sunstein",Business & Economics,"An updated and refreshed edition of the groundbreaking book that shows how people can be nudged toward decisions that will improve their lives ""If you've read Nudge and think you fully grasp the concept and its uses, you are mistaken. The new edition significantly deepened my understanding of what nudges are and how they can be employed. It truly is a must-read.""―Robert Cialdini, New York Times bestselling author of Influence ""Few books can be said to have changed the world, but Nudge did. The Final Edition is marvelous: funny, useful, and wise.""―Daniel Kahneman, #1 New York Times bestselling author of Thinking, Fast and Slow Since the original publication of Nudge more than a decade ago, the word ""nudge"" has entered the vocabulary of businesspeople, policymakers, engaged citizens, and consumers everywhere. The book has given rise to more than 200 ""nudge units"" in governments around the world and countless groups of behavioral scientists in every part of the economy. It has taught us how to use thoughtful ""choice architecture""--a concept the authors invented--to help us make better decisions for ourselves, our families, and our society. Now, the authors have rewritten the book from cover to cover, making use of their experiences in and out of government over the past dozen years as well as the explosion of new research in numerous academic disciplines. It offers a wealth of new insights, for both its avowed fans and newcomers to the field, about a wide variety of issues that we face in our daily lives--COVID-19, health, personal finance, retirement savings, credit card debt, home mortgages, medical care, organ donation, climate change, and ""sludge"" (paperwork and other nuisances that we don't want and keep us from getting what we do want)--all while honoring one of the cardinal rules of nudging: make it fun!"
Childhood And Society,E H Erikson,Psychology,"With this deeply influential book, which is now internationally recognised as a classic study of childhood and its social significance, Professor Erikson has made an outstanding contribution to the study of human behaviour. Drawing on psychoanalytical theory and his own clinical experience, he devotes the main chapters to anxiety in young children, apathy in American Indians, confusion in veterans of war, and arrogance in young Nazis."
Philosophical Explanations,Robert Nozick,Philosophy,"Nozick develops new views on philosophy’s central topics and weaves them into a unified perspective. He ranges widely over philosophy’s fundamental concerns: the identity of the self, knowledge and skepticism, free will, the question of why there is something rather than nothing, the foundations of ethics, the meaning of life."
Reflections on War and Death,Sigmund Freud,Psychology,"Reflections on War and Death is a classic historical psychology study by Sigmund Freud. Thoughts for the Time of War and Death is a set of twin essays written by Sigmund Freud in 1915, six months after the outbreak of World War I. The essays express discontent and disillusionment with human nature and human society in the aftermath of the hostilities; and generated much interest among lay readers of Freud. The first essay addressed the widespread disillusionment brought on by the collapse of the Pax Britannica of the preceding century-what Freud called ""the common civilization of peacetime. The second essay addressed what Freud called the peacetime 'protection racket' whereby the inevitability of death was expunged from civilized mentality. Building on the second essay of Totem and Taboo, Freud argued that such an attitude left civilians in particular unprepared for the stark horror of industrial-scale death in the Great War. Freud's account of the centrality of loss in culture has been seen as seminal for his later work, Civilization and its Discontents. Caught in the whirlwind of these war times, without any real information or any perspective upon the great changes that have already occurred or are about to be enacted, lacking all premonition of the future, it is small wonder that we ourselves become confused as to the meaning of impressions which crowd in upon us or of the value of the judgments we are forming. It would seem as though no event had ever destroyed so much of the precious heritage of mankind, confused so many of the clearest intellects or so thoroughly debased what is highest."
Nonviolent Communication: A Language of Life,"Marshall B. Rosenberg, Deepak Chopra",Psychology,"5,000,000 COPIES SOLD WORLDWIDE • TRANSLATED IN MORE THAN 35 LANGUAGES What is Violent Communication? If ""violent"" means acting in ways that result in hurt or harm, then much of how we communicate—judging others, bullying, having racial bias, blaming, finger pointing, discriminating, speaking without listening, criticizing others or ourselves, name-calling, reacting when angry, using political rhetoric, being defensive or judging who's ""good/bad"" or what's ""right/wrong"" with people—could indeed be called ""violent communication."" What is Nonviolent Communication? Nonviolent Communication is the integration of four things: • Consciousness: a set of principles that support living a life of compassion, collaboration, courage, and authenticity • Language: understanding how words contribute to connection or distance • Communication: knowing how to ask for what we want, how to hear others even in disagreement, and how to move toward solutions that work for all • Means of influence: sharing ""power with others"" rather than using ""power over others"" Nonviolent Communication serves our desire to do three things: • Increase our ability to live with choice, meaning, and connection • Connect empathically with self and others to have more satisfying relationships • Sharing of resources so everyone is able to benefit"
Revolution in Mind,George Makari,Psychology,"""George Makari has written nothing less than a history of the modern mind. But REVOLUTION IN MIND is also a tragedy. It is the moving story of what we lost when the old world went up in flames."" - Paul Auster. An award-winning scholar and writer delivers a definitive, radically new history of Freud, his disciples, and the tumultuous history of psychoanalysis. In this brilliant, engaging and accessible work, - the first comprehensive history of the subject ever written - renowned psychoanalyst George Makari goes past the heated debates over Freud to tell the fuller story of the origins and development of psychoanalysis in Europe. Beginning with great changes in late 19th century science, medicine and philosophy, Makari traces the field's diverse intellectual influences and the fascinating characters who shaped its formation until 1945. Groundbreaking, insightful and compulsively readable, REVOLUTION IN MIND is a fascinating history of one of the most important movements of modern times."
Think Again,Adam Grant,Business & Economics,"THE MILLION-COPY BESTSELLER If you can change your mind you can do anything. Why do we refresh our wardrobes every year, renovate our kitchens every decade, but never update our beliefs and our views? Why do we laugh at people using computers that are ten years old, but yet still cling to opinions we formed ten years ago? There's a new skill for the modern world that matters more than raw intelligence - the ability to change your mind. To have the edge we all need to develop the flexibility to unlearn old beliefs and adapt when the evidence and the world changes before us. Told through fascinating stories, informed by cutting-edge research and illustratedwith amazing insights from Adam Grant's conversations with people such as Elon Musk, Hilary Clinton's campaign team, top CEOs and leading scientists, this is the ultimate guide to keeping your thinking fresh, learning when to question your ideas and update your own opinions, and how to inspire those around you to do the same."
"Gay, Straight, and In-between",John Money,Medical,"Content warning: John Money is generally regarded negatively by the transgender community and was an advocate for surgical 'normalization' of intersex infants -- Wikipedia, viewed June 4, 2024"
The Interpretation Of Dreams,Sigmund Freud,"Body, Mind & Spirit","Sigmund Freud's audacious masterpiece, The Interpretation of Dreams, has never ceased to stimulate controversy since its publication in 1900."
The Plague of Fantasies,Slavoj Žižek,Computers,"Slavoj Zizek is, without doubt, one of the most stimulating and vibrant thinkers of our time, and his idiosyncratic blend of Lacan and Hegel is always sparkling with insight and studded with amusing stories, anecdotes and jokes. In The Plague of Fantasies Zizek approaches another enormous subject with characteristic brio and provocativeness. The current epoch is plagued by fantasms: there is an ever intensifying antagonism between the process of ever greater abstraction of our lives—whether in the form of digitalization or market relations—and the deluge of pseudo-concrete images which surround us. Traditional critical thought would have sought to trace the roots of abstract notions in concrete social reality; but today, the correct procedure is the inverse—from pseudo-concrete imagery to the abstract process which structures our lives. Ranging in his examples from national differences in toilet design to cybersex, and from intellectuals' responses to the Bosnian war to Robert Schumann's music, Zizek explores the relations between fantasy and ideology, the way in which fantasy animates enjoy-ment while protecting against its excesses, the associations of the notion of fetishism with fantasized seduction, and the ways in which digitalization and cyberspace affect the status of subjectivity. To the already initiated, The Plague of Fantasies will be a welcome reminder of why they enjoy Zizek's writing so much. For new readers, it will be the beginning of a long and meaningful relationship."
The Wind in the Willows,Kenneth Grahame,Juvenile Fiction,"The escapades of four animal friends who live along a river in the English countryside--Toad, Mole, Rat, and Badger."
Tales from Earthsea,Ursula K. Le Guin,Fiction,"Exploring the legend of Earthsea's history, people, languages, literature, and magic, this collection of four magical stories is now available in a paperback edition."
The Silver Chair,Clive Staples Lewis,Juvenile Fiction,"Two English children undergo hair-raising adventures as they go on a search and rescue mission for the missing Prince Rilian, who is held captive in the underground kingdom of the Emerald Witch."
The Water Babies,Charles Kingsley,Fiction,"The adventures of Tom, a sooty little chimney sweep with a great longing to be clean, who is stolen by fairies and turned into a water baby."
Harry Potter y la piedra filosofal,J. K. Rowling,Juvenile Fiction,"Harry Potter y la piedra filosofal es el primer volumen de la ya clásica serie de novelas fantásticas de la autora británica J.K. Rowling. «Con las manos temblorosas, Harry le dio la vuelta al sobre y vio un sello de lacre púrpura con un escudo de armas: un león, un águila, un tejón y una serpiente, que rodeaban una gran letra H.» Harry Potter nunca ha oído hablar de Hogwarts hasta que empiezan a caer cartas en el felpudo del número 4 de Privet Drive. Llevan la dirección escrita con tinta verde en un sobre de pergamino amarillento con un sello de lacre púrpura, y sus horripilantes tíos se apresuran a confiscarlas. Más tarde, el día que Harry cumple once años, Rubeus Hagrid, un hombre gigantesco cuyos ojos brillan como escarabajos negros, irrumpe con una noticia extraordinaria: Harry Potter es un mago, y le han concedido una plaza en el Colegio Hogwarts de Magia y Hechicería. ¡Está a punto de comenzar una aventura increíble! ENGLISH DESCRIPTION Harry Potter and the Sorcerer's Stone is the first volume of British author J.K. Rowling's now classic series of fantasy novels. With trembling hands, Harry turned over the envelope and saw a purple wax seal with a coat of arms: a lion, an eagle, a badger, and a snake, all surrounding a large letter H. Harry Potter has never heard of Hogwarts before, until letters start falling at the doorstep of 4 Privet Drive. The address is written in green ink on a yellowed parchment envelope with a purple wax seal stamped on it, and his repugnant aunt and uncle rush to remove and hide them. Later, on Harry's eleventh birthday, Rubeus Hagrid, a gigantic man whose eyes sparkle like black beetles, shows up with extraordinary news: Harry Potter is a wizard, and he has been awarded a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!"
A Wizard of Earthsea,Ursula K. Le Guin,Juvenile Fiction,A boy grows to manhood while attempting to subdue the evil he unleashed on the world as an apprentice to the Master Wizard.
Crown of Midnight,Sarah J. Maas,Juvenile Fiction,"Eighteen-year-old Celaena Sardothien is bold, daring and beautiful - the perfect seductress and the greatest assassin her world has ever known. But though she won the King's contest and became his champion, Celaena has been granted neither her liberty nor the freedom to follow her heart. The slavery of the suffocating salt mines of Endovier that scarred her past is nothing compared to a life bound to her darkest enemy, a king whose rule is so dark and evil it is near impossible to defy. Celaena faces a choice that is tearing her heart to pieces: kill in cold blood for a man she hates, or risk sentencing those she loves to death. Celaena must decide what she will fight for: survival, love or the future of a kingdom. Because an assassin cannot have it all ...And trying to may just destroy her. Love or loathe Celaena, she will slice open your heart with her dagger and leave you bleeding long after the last page of this New York Times bestselling sequel, in what is undeniably THE hottest new fantasy series."
Gifts,Ursula K. Le Guin,Juvenile Fiction,"A darkly compelling fantasy about a world in which each person has a magical, dangerous gift."
Prince Caspian,Clive Staples Lewis,Children,Four children help Prince Caspian and his army of Talking Beasts to free Narnia from evil.
Eragon,Christopher Paolini,Juvenile Fiction,"In Alagaèesia, a fifteen-year-old boy of unknown lineage called Eragon finds a mysterious stone that weaves his life into an intricate tapestry of destiny, magic, and power, peopled with dragons, elves, and monsters."
Harry Potter and the Deathly Hallows,J. K. Rowling,Juvenile Fiction,"""The final adventure in J.K. Rowling's phenomenal, best-selling Harry Potter book series""--Provided by publisher."
The Wind in the Willows,Kenneth Grahame,Juvenile Fiction,"Since its publication in 1908, Kenneth Grahame's The Wind in the Willows has enchanted readers, young and old. This new edition, sensitively abridged and exquisitely illustrated by Inga Moore, is sure to win over a new generation of fans. Here readers will meet the amiable Mole, his hearty friend the Water Rat, the genial Badger, and, of course, the irrepressible Mr. Toad, and enjoy some of the most memorable adventures in children's literature. Classic, yet accessible, and full of humor, this beautiful volume is the perfect addition to every family's bookshelf. Book jacket."
Legendborn,Tracy Deonn,Young Adult Fiction,Includes a short story from Selwyn Kane's point of view.
Peter Pan,James Matthew Barrie,Fiction,"The adventures of the three darling children in Never-Never Land with Peter Pan, the boy who would not grow up."
Prince Caspian Movie Tie-in Edition (rack),C. S. Lewis,Fiction,"This movie tie-in edition of the full original PRINCE CASPIAN novel will be rack size, and feature a movie cover and an 8-page movie still insert."
Skandar and the Unicorn Thief,A.F. Steadman,Juvenile Fiction,"Soar into a breathtaking world of heroes and unicorns as you’ve never seen them before in this fantastical middle grade debut perfect for fans of the Percy Jackson and Eragon series! Skandar Smith has always yearned to leave the Mainland and escape to the secretive Island, where wild unicorns roam free. He’s spent years studying for his Hatchery exam, the annual test that selects a handful of Mainlander thirteen-year-olds to train to become unicorn riders. But on the day of Skandar’s exam, things go horribly wrong, and his hopes are shattered…until a mysterious figure knocks on his door at midnight, bearing a message: the Island is in peril and Skandar must answer its call. Skandar is thrust into a world of epic sky battles, dangerous clashes with wild unicorns, and rumors of a shadowy villain amassing a unicorn army. And the closer Skandar grows to his newfound friends and community of riders, the harder it becomes to keep his secrets—especially when he discovers their lives may all be in graver danger than he ever imagined."
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (adult)",C. S. Lewis,Fiction,"The new adult softcover edition of The Lion, the Witch and the Wardrobe now has a movie still cover and an eight-page movie still insert!"
Prince Caspian,Clive Staples Lewis,Fiction,"A beautiful paperback edition of Prince Caspian, book four in the classic fantasy series, The Chronicles of Narnia. This edition is complete with cover and interior art by the original illustrator, Pauline Baynes. The Pevensie siblings are back to help a prince denied his rightful throne as he gathers an army in a desperate attempt to rid his land of a false king. But in the end, it is a battle of honour between two men alone that will decide the fate of an entire world. A battle is about to begin in Prince Caspian, the fourth book in C. S. Lewis's classic fantasy series, which has been enchanting readers of all ages for over sixty years. This is a stand-alone novel, but if you would like to see more of Prince Caspian's adventures, read The Voyage of the Dawn Treader, the fifth book in The Chronicles of Narnia."
Empowerment of Women Through Self Help Groups,G. Sreeramulu,Political Science,"The book is an in-depth study of Empowerment of Women Through Self Help Groups. It covers the problems and perspectives of Self Help Groups and suggest several measures. The study has evaluated the implementation of several schemes in Anantapur District in particular and in Andhra Pradesh in general such as rearing goats, dairying, petty business activities, making of soft toys and so on. The findings are very much encouraging, such as Women are now managing their families, Panchayat Raj Institutions, are able to concentrate on their children s education and health. Contents include: Introduction, Public Policy Theoretical Perspectives, Evaluation, Aims and Objectctives of Self Help Groups in Anantapur District, Socio-Economic Background of the Sample Study, Problems and perspectives of Self Help Groups, Performance of Self Help Groups and Conclusion. This outstanding Text-cum-Reference book will be of great use to Scholars, Administrators, Planners, Policy-makers, Statesmen and Students of Political Science, Economics, Sociology, Commerce and Women Studites."
Measuring Ego Development,"Jane Loevinger, Ruth Wessler",Ego (Psychology),"Vol.2 by Jane Loevinger, Ruth Wessler and Carolyn Redmore."
About Me,,Child development,"A book for the child who ""looks for answers to his questions about his growing body, his budding mind, his sometimes puzzling emotions, his developing abilities."""
